"codigodpto","dpto","codigompio","mpio","dimension","value","year","fuente","unidad"
"73","Tolima","73043","Anzoátegui","Medición de desempeño municipal",41.29,"2018","DNP - SPT","Puntos"
"73","Tolima","73055","Armero","Medición de desempeño municipal",58.95,"2018","DNP - SPT","Puntos"
"73","Tolima","73067","Ataco","Medición de desempeño municipal",38.37,"2018","DNP - SPT","Puntos"
"73","Tolima","73124","Cajamarca","Medición de desempeño municipal",45.99,"2018","DNP - SPT","Puntos"
"73","Tolima","73148","Carmen de Apicalá","Medición de desempeño municipal",72.24,"2018","DNP - SPT","Puntos"
"73","Tolima","73152","Casabianca","Medición de desempeño municipal",45.54,"2018","DNP - SPT","Puntos"
"73","Tolima","73168","Chaparral","Medición de desempeño municipal",49.29,"2018","DNP - SPT","Puntos"
"73","Tolima","73200","Coello","Medición de desempeño municipal",52.66,"2018","DNP - SPT","Puntos"
"73","Tolima","73217","Coyaima","Medición de desempeño municipal",38.29,"2018","DNP - SPT","Puntos"
"73","Tolima","73226","Cunday","Medición de desempeño municipal",47.82,"2018","DNP - SPT","Puntos"
"73","Tolima","73236","Dolores","Medición de desempeño municipal",49.02,"2018","DNP - SPT","Puntos"
"73","Tolima","73268","Espinal","Medición de desempeño municipal",58.56,"2018","DNP - SPT","Puntos"
"73","Tolima","73270","Falan","Medición de desempeño municipal",42.75,"2018","DNP - SPT","Puntos"
"73","Tolima","73275","Flandes","Medición de desempeño municipal",60.03,"2018","DNP - SPT","Puntos"
"73","Tolima","73283","Fresno","Medición de desempeño municipal",54.6,"2018","DNP - SPT","Puntos"
"73","Tolima","73319","Guamo","Medición de desempeño municipal",58.64,"2018","DNP - SPT","Puntos"
"73","Tolima","73347","Herveo","Medición de desempeño municipal",39.67,"2018","DNP - SPT","Puntos"
"73","Tolima","73349","Honda","Medición de desempeño municipal",53.62,"2018","DNP - SPT","Puntos"
"73","Tolima","73352","Icononzo","Medición de desempeño municipal",50.86,"2018","DNP - SPT","Puntos"
"73","Tolima","73408","Lérida","Medición de desempeño municipal",52.67,"2018","DNP - SPT","Puntos"
"73","Tolima","73411","Líbano","Medición de desempeño municipal",50.85,"2018","DNP - SPT","Puntos"
"73","Tolima","73443","San Sebastián de Mariquita","Medición de desempeño municipal",57.34,"2018","DNP - SPT","Puntos"
"73","Tolima","73449","Melgar","Medición de desempeño municipal",64.58,"2018","DNP - SPT","Puntos"
"73","Tolima","73461","Murillo","Medición de desempeño municipal",42.07,"2018","DNP - SPT","Puntos"
"73","Tolima","73483","Natagaima","Medición de desempeño municipal",44.05,"2018","DNP - SPT","Puntos"
"73","Tolima","73504","Ortega","Medición de desempeño municipal",46.46,"2018","DNP - SPT","Puntos"
"73","Tolima","73520","Palocabildo","Medición de desempeño municipal",47.61,"2018","DNP - SPT","Puntos"
"73","Tolima","73547","Piedras","Medición de desempeño municipal",47.77,"2018","DNP - SPT","Puntos"
"73","Tolima","73555","Planadas","Medición de desempeño municipal",47.26,"2018","DNP - SPT","Puntos"
"73","Tolima","73563","Prado","Medición de desempeño municipal",51.16,"2018","DNP - SPT","Puntos"
"73","Tolima","73585","Purificación","Medición de desempeño municipal",53.16,"2018","DNP - SPT","Puntos"
"73","Tolima","73616","Rioblanco","Medición de desempeño municipal",48.35,"2018","DNP - SPT","Puntos"
"73","Tolima","73622","Roncesvalles","Medición de desempeño municipal",47.63,"2018","DNP - SPT","Puntos"
"73","Tolima","73624","Rovira","Medición de desempeño municipal",49.6,"2018","DNP - SPT","Puntos"
"73","Tolima","73671","Saldaña","Medición de desempeño municipal",61.27,"2018","DNP - SPT","Puntos"
"73","Tolima","73675","San Antonio","Medición de desempeño municipal",43.67,"2018","DNP - SPT","Puntos"
"73","Tolima","73678","San Luis","Medición de desempeño municipal",44.59,"2018","DNP - SPT","Puntos"
"73","Tolima","73686","Santa Isabel","Medición de desempeño municipal",47.99,"2018","DNP - SPT","Puntos"
"73","Tolima","73770","Suárez","Medición de desempeño municipal",44.46,"2018","DNP - SPT","Puntos"
"73","Tolima","73854","Valle de San Juan","Medición de desempeño municipal",49.6,"2018","DNP - SPT","Puntos"
"73","Tolima","73861","Venadillo","Medición de desempeño municipal",44.31,"2018","DNP - SPT","Puntos"
