"iso3","year","df_ha","gdp_perc","food_exports","exports_gdp","food_infl","pop_growth","gdp_growth","foreing_invest","tmp_change"
"CHN",2009,412569,8069.35,2.93918,24.7499,566.741032809475,0.497381,9.39873,130000000000,1.309
"CHN",2008,384075,7412.87,2.5084,32.6027,722.406078577285,0.512387,9.65068,170000000000,1.061
"CHN",2007,224050,6795.17,2.71796,35.4348,742.818628866992,0.522272,14.2309,160000000000,1.508
"CHN",2018,228494,15134,2.90089,19.1121,1058.50424579813,0.467672,6.74977,240000000000,1.349
"CHN",2011,298450,9680.1,2.85336,26.5682,1163.00313911509,0.546458,9.55083,280000000000,0.761
"CHN",2016,164538,13399.1,3.15618,19.5844,742.983300986167,0.573051,6.84876,170000000000,1.304
"CHN",2014,272181,11851.4,2.71078,23.5101,1308.94566999902,0.630326,7.42576,270000000000,1.043
"CHN",2015,160294,12612.4,2.77869,21.3541,1085.97944261847,0.581456,7.04133,240000000000,1.277
"CHN",2013,219044,11101.9,2.71536,24.5993,1365.33988061081,0.666073,7.76615,290000000000,1.048
"CHN",2017,281956,14243.5,3.04846,19.6923,719.90822160779,0.605245,6.9472,170000000000,1.565
"CHN",2012,131063,10370.7,2.74884,25.4925,1157.89438317812,0.678345,7.86374,240000000000,0.595
"CIV",2012,34887.5,3666.64,43.9959,34.9825,-0.024433,2.43594,7.62041,330000000,0.721
"CIV",2013,9031.25,3961.83,38.1518,29.1604,1.95113,2.47668,10.7602,410000000,0.99
"CIV",2014,21718.8,4225.96,47.8125,28.157,-2.0925,2.5045,9.372,440000000,0.897
"CIV",2006,3500,3527.24,35.0537,32.8409,3.03195,2.15803,2.81558,350000000,1
"CIV",2018,4493.75,5033.48,56.5223,22.6407,0.463986,2.55232,6.89028,620000000,1.446
"CIV",2011,6537.5,3491.02,48.0287,35.2814,10.5726,2.38553,-5.37045,300000000,1.044
"CIV",2010,3412.5,3778.21,48.6352,33.4996,6.47947,2.33454,6.84805,360000000,1.349
"CIV",2008,6450,3574.52,40.2387,31.0137,11.6181,2.24018,4.78267,470000000,0.817
"CIV",2005,2150,3505.49,38.2239,31.879,2.42268,2.11443,0.996066,350000000,1.111
"CIV",2009,2762.5,3619.58,47.1788,35.4127,2.55141,2.28717,3.60332,400000000,1.01
"CIV",2007,39550,3488.65,39.4818,30.491,5.39956,2.1956,1.10143,440000000,1.097
"CIV",2017,2837.5,4830.75,55.342,24.9201,0.74185,2.54778,7.35964,980000000,1.714
"CIV",2004,1300,3545.09,45.2715,30.1413,-3.44305,2.08542,3.18504,280000000,0.843
"CIV",2015,10925,4417.15,53.3127,27.3556,2.04755,2.52216,7.19409,490000000,1.417
"CIV",2016,13506.3,4615.71,58.7162,24.5951,3.05394,2.53613,7.17921,580000000,1.625
"CMR",2018,11218.8,3711.85,19.6162,18.7363,1.21786,2.61228,3.95551,770000000,1.03
"CMR",2005,15037.5,3144.94,14.6644,22.2455,-0.32651,2.70979,2.22827,240000000,1.117
